//------------------------------------------------------------------------------
//
// Sistema de Informa��es Hidrol�gicas
// Vers�o Web 3.0
// � 2001 Ag�ncia Nacional de �guas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = N�o, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transfer�ncia de vaz�es, 3 = Soma de vaz�es, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = R�gua Seca
//
// Restri��es da consulta:
//   C�digo da Esta��o: 49330000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
49330000;1;01/01/2008;;1;1;1647,836;1152,753;1298,881;9;30;0;0;1;;0;1413,264;1471,401;1354,142;1366,711;1335,392;1308,526;1360,42;1421,807;1546,18;1394,13;1314,703;1279,882;1277,848;1290,078;1281,918;1304,416;1281,918;1281,918;1290,078;1283,956;1283,956;1288,036;1283,956;1283,956;1288,036;1172,203;1162,459;1160,515;1168,301;1154,691;1160,515;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/02/2008;;1;1;1235,474;1050,378;1076,477;1;6;0;0;1;;0;1223,492;1099,109;1065,261;1065,261;1065,261;1057,807;1080,243;1076,488;1076,488;1067,128;1063,395;1065,261;1061,531;1067,128;1070,868;1063,395;1076,488;1068,997;1076,488;1067,128;1067,128;1067,128;1063,395;1054,089;1089,657;1097,216;1080,243;1067,128;1074,613;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;;
49330000;1;01/03/2008;;1;1;1375,12;1050,378;1078,539;14;12;0;0;1;;0;1084,004;1065,261;1076,488;1067,128;1116,22;1059,668;1055,948;1054,089;1057,807;1063,395;1054,089;1054,089;1052,233;1213,548;1084,004;1057,807;1065,261;1061,531;1148,881;1082,123;1084,004;1070,868;1068,997;1072,74;1070,868;1065,261;1072,74;1055,948;1067,128;1099,109;1133,456;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/04/2008;;1;1;2273,121;1072,74;1385,772;7;22;1;1;1;;0;1099,109;1091,544;1195,746;1712,627;2054,187;2246,51;2273,121;1792,884;1579,726;1675,459;1460,551;1409,001;1404,745;1438,966;1375,12;1358,326;1358,326;1308,526;1207,6;1087,771;1095,324;1072,74;1099,109;1102,901;1160,515;1211,564;1168,301;1156,631;1152,753;1223,492;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
49330000;1;01/05/2008;;1;1;1396,25;1183,947;1301,041;20;13;0;0;1;;0;1347,879;1306,471;1288,036;1294,167;1310,584;1310,584;1281,918;1263,648;1288,036;1271,753;1267,698;1253,552;1249,524;1229,476;1255,568;1261,626;1281,918;1259,605;1261,626;1362,515;1312,643;1308,526;1318,829;1331,242;1379,334;1345,794;1366,711;1308,526;1339,548;1339,548;1335,392;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/06/2008;;1;1;1889,519;1227,48;1396,493;16;20;0;0;1;;0;1314,703;1394,13;1337,469;1308,526;1294,167;1288,036;1343,71;1302,363;1366,711;1515,177;1430,374;1423,946;1548,406;1331,242;1358,326;1618,155;1499,786;1432,52;1477,928;1402,619;1354,142;1300,312;1559,558;1441,118;1517,381;1402,619;1347,879;1341,629;1308,526;1333,317;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
49330000;1;01/07/2008;;1;1;1973,538;1207,6;1470,093;29;13;0;0;1;;0;1352,053;1438,966;1613,612;1595,497;1707,96;1314,703;1517,381;1501,98;1458,386;1515,177;1451,899;1398,372;1241,487;1445,426;1504,176;1341,629;1306,471;1432,52;1341,629;1302,363;1383,554;1383,554;1491,025;1454,06;1577,479;1458,386;1488,838;1546,18;1700,971;1661,62;1645,544;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/08/2008;;1;1;2541,715;1460,551;1908,934;21;17;0;0;1;;0;1840,903;1575,234;1636,39;1790,499;1792,884;1889,519;1914,052;1814,418;1645,544;1528,428;1926,374;2041,485;2061,826;2089,95;2131,177;1826,434;1530,641;1872,436;2089,95;2097,651;2217,408;2146,736;1865,136;1524,005;1860,278;2198,982;2170,173;2180,628;2193,73;2128,59;1595,497;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/09/2008;;1;1;2353,841;1464,886;1921,518;5;27;0;0;1;;0;1909,133;2066,926;2077,144;2038,949;2170,173;1953,614;1564,029;1904,221;2033,882;2149,334;2072,032;2072,032;1916,513;1750,179;1865,136;2031,351;1943,688;1973,538;1921,441;1833,662;1557,324;1736,052;1904,221;1971,042;1998,577;1936,259;1877,309;1570,747;1840,903;2006,118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49330000;1;01/10/2008;;1;1;2895,777;1482,288;2221,335;31;6;1;1;1;;0;1855,425;2038,949;2008,635;1840,903;1548,406;1721,979;2204,239;2167,563;2209,502;2496,897;2038,949;1845,737;2131,177;2305,25;2353,841;2435,888;2430,377;2204,239;1870,001;2146,736;2359,27;2491,322;2496,897;2508,066;2326,787;2018,716;2321,394;2632,476;2609,645;2609,645;2632,476;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
